,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
3403,Cellulophaga~phage~phi12:2,Unassigned,Microviridae,Unassigned,3560_0,Clustered,2,VC_3560_0,2,1.0,1.0,1.0,1,1,1,1.0
3404,Cellulophaga~phage~phi12a:1,Unassigned,Microviridae,Unassigned,3560_0,Clustered,2,VC_3560_0,2,1.0,1.0,1.0,1,1,1,1.0
3405,Cellulophaga~phage~phi13:2,Caudovirales,Podoviridae,Unassigned,3558_0,Clustered,4,VC_3558_0,4,0.8913,0.99988695,0.8912,1,1,1,1.0
3406,Cellulophaga~phage~phi17:1,Caudovirales,Siphoviridae,Cba181virus,3559_0,Clustered,3,VC_3559_0,3,0.967,0.99216275,0.9594,1,1,1,1.0
3407,Cellulophaga~phage~phi17:2,Caudovirales,Podoviridae,Cba41virus,2416_0,Clustered,2,VC_2416_0,2,0.777,0.9396546,0.7301,1,1,1,1.0
3408,Cellulophaga~phage~phi18:1,Caudovirales,Siphoviridae,Cba181virus,3559_0,Clustered,3,VC_3559_0,3,0.967,0.99216275,0.9594,1,1,1,1.0
3409,Cellulophaga~phage~phi18:3,Caudovirales,Podoviridae,Unassigned,3558_0,Clustered,4,VC_3558_0,4,0.8913,0.99988695,0.8912,1,1,1,1.0
3410,Cellulophaga~phage~phi19:1,Caudovirales,Siphoviridae,Unassigned,2812_0,Clustered,2,VC_2812_0,2,0.4043,0.94398033,0.3817,1,1,1,1.0
3411,Cellulophaga~phage~phi19:3,Caudovirales,Podoviridae,Unassigned,3558_0,Clustered,4,VC_3558_0,4,0.8913,0.99988695,0.8912,1,1,1,1.0
3412,Cellulophaga~phage~phi46:3,Caudovirales,Podoviridae,Unassigned,3558_0,Clustered,4,VC_3558_0,4,0.8913,0.99988695,0.8912,1,1,1,1.0
3413,Cellulophaga~phage~phi4:1,Caudovirales,Podoviridae,Cba41virus,2416_0,Clustered,2,VC_2416_0,2,0.777,0.9396546,0.7301,1,1,1,1.0
3414,Cellulophaga~phage~phiSM,Caudovirales,Myoviridae,Unassigned,3561_0,Clustered,6,VC_3561_0,6,0.7776,0.99999915,0.7776,1,2,2,1.0
3415,Chimpanzee~faeces~associated~microphage~1,Unassigned,Unassigned,Unassigned,258_0,Clustered,2,VC_258_0,2,0.3498,0.86822376,0.3037,1,1,1,1.0
3416,Chimpanzee~faeces~associated~microphage~3,Unassigned,Unassigned,Unassigned,258_0,Clustered,2,VC_258_0,2,0.3498,0.86822376,0.3037,1,1,1,1.0
3417,Chlamydia~phage~2,Unassigned,Microviridae,Chlamydiamicrovirus,257_0,Clustered,11,VC_257_0,11,0.7338,1.0,0.7338,3,1,1,1.0
3418,Chlamydia~phage~4,Unassigned,Microviridae,Unassigned,257_0,Clustered,11,VC_257_0,11,0.7338,1.0,0.7338,3,1,1,1.0
3419,Chlamydia~virus~CPAR39,Unassigned,Microviridae,Chlamydiamicrovirus,257_0,Clustered,11,VC_257_0,11,0.7338,1.0,0.7338,3,1,1,1.0
3420,Citrobacter~phage~CR44b,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3421,Citrobacter~phage~CR8,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3422,Citrobacter~phage~Merlin,Caudovirales,Myoviridae,Moonvirus,59_2,Clustered,2,VC_59_2,2,0.0075,0.93600445,0.007,1,1,1,1.0
3423,Citrobacter~phage~Michonne,Unassigned,Unassigned,Unassigned,44_1,Clustered,16,VC_44_1,16,0.8576,1.0,0.8576,4,2,2,1.0
3424,Citrobacter~phage~Moogle,Caudovirales,Myoviridae,Mooglevirus,44_1,Clustered,16,VC_44_1,16,0.8576,1.0,0.8576,4,2,2,1.0
3425,Citrobacter~phage~Moon,Caudovirales,Myoviridae,Moonvirus,59_2,Clustered,2,VC_59_2,2,0.0075,0.93600445,0.007,1,1,1,1.0
3426,Citrobacter~phage~SH1,Unassigned,Unassigned,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3427,Citrobacter~phage~SH2,Unassigned,Unassigned,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3428,Citrobacter~phage~SH3,Unassigned,Unassigned,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3429,Citrobacter~phage~SH4,Unassigned,Unassigned,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3430,Citrobacter~phage~phiCFP-1,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3431,Citrobacter~virus~Stevie,Caudovirales,Siphoviridae,Tlsvirus,3565_0,Clustered,25,VC_3565_0,25,0.9691,1.0,0.9691,6,2,2,0.9633
3432,Clavibacter~phage~CMP1,Caudovirales,Siphoviridae,Unassigned,2136_0,Clustered,5,VC_2136_0,5,0.7091,0.99997064,0.7091,1,2,2,1.0
3433,Clavibacter~phage~CN1A,Caudovirales,Siphoviridae,Unassigned,2136_0,Clustered,5,VC_2136_0,5,0.7091,0.99997064,0.7091,1,2,2,1.0
3434,Clostridium~phage~CDMH1,Caudovirales,Myoviridae,Unassigned,175_0,Clustered,4,VC_175_0,4,0.3342,0.99997874,0.3342,2,1,1,1.0
3435,Clostridium~phage~PhiS63,Caudovirales,Siphoviridae,Unassigned,180_0,Clustered,3,VC_180_0,3,0.2594,0.99712893,0.2587,1,1,1,1.0
3436,Clostridium~phage~phi3626,Caudovirales,Siphoviridae,Unassigned,180_0,Clustered,3,VC_180_0,3,0.2594,0.99712893,0.2587,1,1,1,1.0
3437,Clostridium~phage~phiCD111,Caudovirales,Siphoviridae,Unassigned,3568_0,Clustered,3,VC_3568_0,3,0.5397,0.99723579,0.5382,1,1,1,1.0
3438,Clostridium~phage~phiCD146,Caudovirales,Siphoviridae,Unassigned,3568_0,Clustered,3,VC_3568_0,3,0.5397,0.99723579,0.5382,1,1,1,1.0
3439,Clostridium~phage~phiCD38-2,Caudovirales,Siphoviridae,Unassigned,3568_0,Clustered,3,VC_3568_0,3,0.5397,0.99723579,0.5382,1,1,1,1.0
3440,Clostridium~phage~phiCD481-1,Caudovirales,Myoviridae,Unassigned,3569_0,Clustered,5,VC_3569_0,5,0.5368,0.99999986,0.5368,1,1,1,1.0
3441,Clostridium~phage~phiCD505,Caudovirales,Myoviridae,Unassigned,175_2,Clustered,3,VC_175_2,3,0.2318,0.99788046,0.2313,2,1,1,1.0
3442,Clostridium~phage~phiCD506,Caudovirales,Myoviridae,Unassigned,3569_0,Clustered,5,VC_3569_0,5,0.5368,0.99999986,0.5368,1,1,1,1.0
3443,Clostridium~phage~phiCDHM11,Caudovirales,Myoviridae,Unassigned,3569_0,Clustered,5,VC_3569_0,5,0.5368,0.99999986,0.5368,1,1,1,1.0
3444,Clostridium~phage~phiCDHM13,Caudovirales,Myoviridae,Unassigned,3569_0,Clustered,5,VC_3569_0,5,0.5368,0.99999986,0.5368,1,1,1,1.0
3445,Clostridium~phage~phiCDHM19,Caudovirales,Myoviridae,Unassigned,175_1,Clustered,2,VC_175_1,2,0.1086,0.94990514,0.1032,2,1,1,1.0
3446,Clostridium~phage~phiCP13O,Caudovirales,Siphoviridae,Unassigned,3571_0,Clustered,4,VC_3571_0,4,1.0,1.0,1.0,1,1,1,1.0
3447,Clostridium~phage~phiCP26F,Caudovirales,Siphoviridae,Unassigned,3571_0,Clustered,4,VC_3571_0,4,1.0,1.0,1.0,1,1,1,1.0
3448,Clostridium~phage~phiCP34O,Caudovirales,Siphoviridae,Unassigned,3571_0,Clustered,4,VC_3571_0,4,1.0,1.0,1.0,1,1,1,1.0
3449,Clostridium~phage~phiCP39-O,Caudovirales,Siphoviridae,Unassigned,3571_0,Clustered,4,VC_3571_0,4,1.0,1.0,1.0,1,1,1,1.0
3450,Clostridium~phage~phiCP7R,Caudovirales,Podoviridae,Unassigned,3570_0,Clustered,3,VC_3570_0,3,0.7978,0.9595722,0.7656,1,1,1,1.0
3451,Clostridium~phage~phiCPV4,Caudovirales,Podoviridae,Unassigned,3570_0,Clustered,3,VC_3570_0,3,0.7978,0.9595722,0.7656,1,1,1,1.0
3452,Clostridium~phage~phiCT19406A,Unassigned,Unassigned,Unassigned,186_0,Clustered,2,VC_186_0,2,0.4089,0.94273135,0.3855,1,1,1,1.0
3453,Clostridium~phage~phiCT19406B,Unassigned,Unassigned,Unassigned,169_0,Clustered,4,VC_169_0,4,0.4753,0.99997602,0.4753,1,1,1,1.0
3454,Clostridium~phage~phiCT19406C,Unassigned,Unassigned,Unassigned,169_0,Clustered,4,VC_169_0,4,0.4753,0.99997602,0.4753,1,1,1,1.0
3455,Clostridium~phage~phiCT453B,Unassigned,Unassigned,Unassigned,169_0,Clustered,4,VC_169_0,4,0.4753,0.99997602,0.4753,1,1,1,1.0
3456,Clostridium~phage~phiCTC2A,Unassigned,Unassigned,Unassigned,186_0,Clustered,2,VC_186_0,2,0.4089,0.94273135,0.3855,1,1,1,1.0
3457,Clostridium~phage~phiCTC2B,Unassigned,Unassigned,Unassigned,169_0,Clustered,4,VC_169_0,4,0.4753,0.99997602,0.4753,1,1,1,1.0
3458,Clostridium~phage~phiCTP1,Caudovirales,Siphoviridae,Unassigned,2312_0,Clustered,2,VC_2312_0,2,0.3627,0.91418477,0.3315,1,1,1,1.0
3459,Clostridium~phage~phiMMP01,Caudovirales,Myoviridae,Unassigned,175_0,Clustered,4,VC_175_0,4,0.3342,0.99997874,0.3342,2,1,1,1.0
3460,Clostridium~phage~phiMMP02,Caudovirales,Myoviridae,Unassigned,175_2,Clustered,3,VC_175_2,3,0.2318,0.99788046,0.2313,2,1,1,1.0
3461,Clostridium~phage~phiMMP03,Caudovirales,Myoviridae,Unassigned,175_0,Clustered,4,VC_175_0,4,0.3342,0.99997874,0.3342,2,1,1,1.0
3462,Clostridium~phage~phiMMP04,Caudovirales,Myoviridae,Unassigned,3569_0,Clustered,5,VC_3569_0,5,0.5368,0.99999986,0.5368,1,1,1,1.0
3463,Clostridium~phage~phiSM101,Caudovirales,Siphoviridae,Unassigned,180_0,Clustered,3,VC_180_0,3,0.2594,0.99712893,0.2587,1,1,1,1.0
3464,Clostridium~phage~phiZP2,Caudovirales,Podoviridae,Unassigned,3570_0,Clustered,3,VC_3570_0,3,0.7978,0.9595722,0.7656,1,1,1,1.0
3465,Clostridium~virus~phiC2,Caudovirales,Myoviridae,Cd119virus,175_0,Clustered,4,VC_175_0,4,0.3342,0.99997874,0.3342,2,1,1,1.0
3466,Clostridium~virus~phiCD119,Caudovirales,Myoviridae,Cd119virus,175_1,Clustered,2,VC_175_1,2,0.1086,0.94990514,0.1032,2,1,1,1.0
3467,Clostridium~virus~phiCD27,Caudovirales,Myoviridae,Cd119virus,175_2,Clustered,3,VC_175_2,3,0.2318,0.99788046,0.2313,2,1,1,1.0
3468,Cronobacter~phage~CR5,Caudovirales,Myoviridae,Unassigned,3576_0,Clustered,3,VC_3576_0,3,0.0992,0.96963943,0.0962,1,2,2,1.0
3469,Cronobacter~phage~Dev-CD-23823,Caudovirales,Podoviridae,Unassigned,96_0,Clustered,5,VC_96_0,5,0.3762,0.99999996,0.3762,1,1,1,1.0
3470,Cronobacter~phage~Dev2,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3471,Cronobacter~phage~S13,Caudovirales,Myoviridae,Unassigned,60_5,Clustered/Singleton,1,VC_60_5,1,0.0,1.0,0.0,1,1,1,1.0
3472,Cronobacter~phage~vB_CsaM_GAP31,Caudovirales,Myoviridae,Se1virus,3563_2,Clustered,2,VC_3563_2,2,0.0479,0.93859337,0.045,1,1,1,1.0
3473,Cronobacter~phage~vB_CsaM_GAP32,Caudovirales,Myoviridae,Unassigned,93_1,Clustered/Singleton,1,VC_93_1,1,0.0,1.0,0.0,1,1,1,1.0
3474,Cronobacter~phage~vB_CsaP_GAP52,Caudovirales,Podoviridae,Unassigned,3573_0,Clustered,2,VC_3573_0,2,0.1618,0.95417032,0.1544,1,1,1,1.0
3475,Cronobacter~phage~vB_CskP_GAP227,Caudovirales,Podoviridae,Unassigned,96_0,Clustered,5,VC_96_0,5,0.3762,0.99999996,0.3762,1,1,1,1.0
3476,Cronobacter~virus~ESP29491,Caudovirales,Siphoviridae,Unassigned,3565_0,Clustered,25,VC_3565_0,25,0.9691,1.0,0.9691,6,2,2,0.9633
3477,Cyanophage~9515-10a,Caudovirales,Podoviridae,Unassigned,2170_0,Clustered,19,VC_2170_0,19,0.8309,1.0,0.8309,1,2,2,1.0
3478,Cyanophage~KBS-P-1A,Unassigned,Unassigned,Unassigned,2170_0,Clustered,19,VC_2170_0,19,0.8309,1.0,0.8309,1,2,2,1.0
3479,Cyanophage~MED4-117,Unassigned,Unassigned,Unassigned,330_0,Clustered,2,VC_330_0,2,0.7474,0.72985431,0.5455,1,2,2,1.0
3480,Cyanophage~NATL1A-7,Caudovirales,Podoviridae,Unassigned,2170_0,Clustered,19,VC_2170_0,19,0.8309,1.0,0.8309,1,2,2,1.0
3481,Cyanophage~NATL2A-133,Caudovirales,Podoviridae,Unassigned,2170_0,Clustered,19,VC_2170_0,19,0.8309,1.0,0.8309,1,2,2,1.0
3482,Cyanophage~P-RSM1,Caudovirales,Myoviridae,Unassigned,3365_5,Clustered,2,VC_3365_5,2,0.0125,0.88532067,0.0111,1,1,1,1.0
3483,Cyanophage~P-RSM6,Caudovirales,Myoviridae,Unassigned,3365_1,Clustered/Singleton,1,VC_3365_1,1,0.0,1.0,0.0,1,1,1,1.0
3484,Cyanophage~P-SSP2,Unassigned,Unassigned,Unassigned,2170_0,Clustered,19,VC_2170_0,19,0.8309,1.0,0.8309,1,2,2,1.0
3485,Cyanophage~P-TIM40,Caudovirales,Myoviridae,Unassigned,3365_2,Clustered/Singleton,1,VC_3365_2,1,0.0,1.0,0.0,1,1,1,1.0
3486,Cyanophage~PP,Caudovirales,Podoviridae,Unassigned,117_0,Clustered,2,VC_117_0,2,0.5306,0.86822376,0.4607,1,1,1,1.0
3487,Cyanophage~PSS2,Caudovirales,Siphoviridae,Unassigned,3583_0,Clustered,2,VC_3583_0,2,0.8676,0.81445332,0.7066,1,1,1,1.0
3488,Cyanophage~S-RIM32,Unassigned,Unassigned,Unassigned,3365_32,Clustered/Singleton,1,VC_3365_32,1,0.0,1.0,0.0,1,1,1,1.0
3489,Cyanophage~S-RIM50,Unassigned,Unassigned,Unassigned,3365_12,Clustered,2,VC_3365_12,2,0.0118,0.88414565,0.0104,1,2,2,1.0
3490,Cyanophage~SS120-1,Unassigned,Unassigned,Unassigned,2170_0,Clustered,19,VC_2170_0,19,0.8309,1.0,0.8309,1,2,2,1.0
3491,Cyanophage~Syn30,Unassigned,Unassigned,Unassigned,3365_8,Clustered,2,VC_3365_8,2,0.0118,0.88077269,0.0104,1,2,2,1.0
3492,Deep-sea~thermophilic~phage~D6E,Unassigned,Unassigned,Unassigned,159_0,Clustered,2,VC_159_0,2,0.239,0.94793863,0.2266,1,1,1,1.0
3493,Delftia~phage~IME-DE1,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3494,Delftia~phage~RG-2014,Caudovirales,Podoviridae,Unassigned,17_1,Clustered,11,VC_17_1,11,0.4195,1.0,0.4195,4,1,1,0.9818
3495,Dickeya~phage~RC-2014,Caudovirales,Ackermannviridae,Limestonevirus,63_1,Clustered,19,VC_63_1,19,0.7765,1.0,0.7765,5,1,1,0.8012
3496,Dickeya~virus~Limestone,Caudovirales,Ackermannviridae,Limestonevirus,63_1,Clustered,19,VC_63_1,19,0.7765,1.0,0.7765,5,1,1,0.8012
3497,Edwardsiella~phage~GF-2,Caudovirales,Myoviridae,Unassigned,55_1,Clustered,37,VC_55_1,37,0.389,1.0,0.389,1,2,2,0.973
3498,Edwardsiella~phage~KF-1,Caudovirales,Podoviridae,Kf1virus,3584_0,Clustered,3,VC_3584_0,3,1.0,1.0,1.0,2,2,2,1.0
3499,Edwardsiella~phage~MSW-3,Caudovirales,Myoviridae,Msw3virus,305_0,Clustered,6,VC_305_0,6,0.5992,1.0,0.5992,2,1,1,0.9333
3500,Edwardsiella~phage~PEi20,Caudovirales,Myoviridae,Unassigned,59_13,Clustered/Singleton,1,VC_59_13,1,0.0,1.0,0.0,1,1,1,1.0
3501,Edwardsiella~phage~PEi21,Caudovirales,Myoviridae,Msw3virus,305_0,Clustered,6,VC_305_0,6,0.5992,1.0,0.5992,2,1,1,0.9333
3502,Enterobacter~phage~Arya,Unassigned,Unassigned,Unassigned,132_0,Clustered,4,VC_132_0,4,0.2439,0.99998312,0.2439,2,2,2,1.0
3503,Enterobacter~phage~CC31,Caudovirales,Myoviridae,Cc31virus,59_17,Clustered,2,VC_59_17,2,0.0076,0.93495811,0.0071,1,1,1,1.0
3504,Enterobacter~phage~E-2,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3505,Enterobacter~phage~E-3,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3506,Enterobacter~phage~Enc34,Caudovirales,Siphoviridae,Unassigned,39_0,Clustered,11,VC_39_0,11,0.6043,1.0,0.6043,2,2,2,1.0
3507,Enterobacter~phage~PG7,Caudovirales,Myoviridae,Cc31virus,59_17,Clustered,2,VC_59_17,2,0.0076,0.93495811,0.0071,1,1,1,1.0
3508,Enterobacter~phage~Tyrion,Unassigned,Unassigned,Unassigned,275_0,Clustered,5,VC_275_0,5,0.6225,0.99999993,0.6225,2,2,2,1.0
3509,Enterobacter~phage~phiEap-1,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3510,Enterobacter~phage~phiEap-2,Caudovirales,Podoviridae,Unassigned,73_0,Clustered,17,VC_73_0,17,0.7866,1.0,0.7866,4,3,2,1.0
3511,Enterobacteria~phage~13a,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3512,Enterobacteria~phage~285P,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3513,Enterobacteria~phage~933W,Caudovirales,Podoviridae,Nona33virus,109_1,Clustered,13,VC_109_1,13,0.551,1.0,0.551,4,1,1,0.8974
3514,Enterobacteria~phage~BA14,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3515,Enterobacteria~phage~Bp7,Caudovirales,Myoviridae,Js98virus,59_12,Clustered,8,VC_59_12,8,0.0534,1.0,0.0534,2,2,2,1.0
3516,Enterobacteria~phage~C-1~INW-2012,Unassigned,Leviviridae,Unassigned,3586_0,Clustered,4,VC_3586_0,4,1.0,0.0,0.0,1,1,1,1.0
3517,Enterobacteria~phage~EcoDS1,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3518,Enterobacteria~phage~FI~sensu~lato,Unassigned,Leviviridae,Unassigned,3587_0,Clustered,3,VC_3587_0,3,1.0,0.0,0.0,2,1,1,1.0
3519,Enterobacteria~phage~G4~sensu~lato,Unassigned,Microviridae,G4microvirus,3585_0,Clustered,8,VC_3585_0,8,0.9635,0.99999117,0.9635,4,1,1,1.0
3520,Enterobacteria~phage~GEC-3S,Caudovirales,Myoviridae,Unassigned,60_2,Clustered,4,VC_60_2,4,0.0476,0.9999869,0.0476,2,1,1,1.0
3521,Enterobacteria~phage~HK106,Caudovirales,Siphoviridae,Hk97virus,227_0,Clustered,13,VC_227_0,13,0.3989,1.0,0.3989,3,1,1,1.0
3522,Enterobacteria~phage~HK140,Caudovirales,Siphoviridae,Unassigned,227_0,Clustered,13,VC_227_0,13,0.3989,1.0,0.3989,3,1,1,1.0
3523,Enterobacteria~phage~HK446,Caudovirales,Siphoviridae,Hk97virus,227_0,Clustered,13,VC_227_0,13,0.3989,1.0,0.3989,3,1,1,1.0
3524,Enterobacteria~phage~HK542,Caudovirales,Siphoviridae,Hk97virus,227_0,Clustered,13,VC_227_0,13,0.3989,1.0,0.3989,3,1,1,1.0
3525,Enterobacteria~phage~HK544,Caudovirales,Siphoviridae,Hk97virus,227_0,Clustered,13,VC_227_0,13,0.3989,1.0,0.3989,3,1,1,1.0
3526,Enterobacteria~phage~HK633,Caudovirales,Siphoviridae,Hk97virus,227_0,Clustered,13,VC_227_0,13,0.3989,1.0,0.3989,3,1,1,1.0
3527,Enterobacteria~phage~Hgal1,Unassigned,Leviviridae,Unassigned,3586_0,Clustered,4,VC_3586_0,4,1.0,0.0,0.0,1,1,1,1.0
3528,Enterobacteria~phage~ID18~sensu~lato,Unassigned,Microviridae,Unassigned,3585_0,Clustered,8,VC_3585_0,8,0.9635,0.99999117,0.9635,4,1,1,1.0
3529,Enterobacteria~phage~ID2~Moscow/ID/2001,Unassigned,Microviridae,G4microvirus,3585_0,Clustered,8,VC_3585_0,8,0.9635,0.99999117,0.9635,4,1,1,1.0
3530,Enterobacteria~phage~IME08,Caudovirales,Myoviridae,Js98virus,59_12,Clustered,8,VC_59_12,8,0.0534,1.0,0.0534,2,2,2,1.0
3531,Enterobacteria~phage~If1,Unassigned,Inoviridae,Unassigned,3590_0,Clustered,3,VC_3590_0,3,0.6844,0.9639009,0.6597,2,1,1,1.0
3532,Enterobacteria~phage~JS10,Caudovirales,Myoviridae,Js98virus,59_12,Clustered,8,VC_59_12,8,0.0534,1.0,0.0534,2,2,2,1.0
3533,Enterobacteria~phage~K1F,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3534,Enterobacteria~phage~M,Unassigned,Leviviridae,Unassigned,3586_0,Clustered,4,VC_3586_0,4,1.0,0.0,0.0,1,1,1,1.0
3535,Enterobacteria~phage~P88,Caudovirales,Myoviridae,Unassigned,110_0,Clustered,29,VC_110_0,29,0.8118,1.0,0.8118,2,1,1,1.0
3536,Enterobacteria~phage~Phi1,Caudovirales,Myoviridae,Rb49virus,60_2,Clustered,4,VC_60_2,4,0.0476,0.9999869,0.0476,2,1,1,1.0
3537,Enterobacteria~phage~RB14,Caudovirales,Myoviridae,T4virus,59_10,Clustered,27,VC_59_10,27,0.2472,1.0,0.2472,2,2,2,1.0
3538,Enterobacteria~phage~RB27,Caudovirales,Myoviridae,Unassigned,59_10,Clustered,27,VC_59_10,27,0.2472,1.0,0.2472,2,2,2,1.0
3539,Enterobacteria~phage~RB3,Caudovirales,Myoviridae,T4virus,59_10,Clustered,27,VC_59_10,27,0.2472,1.0,0.2472,2,2,2,1.0
3540,Enterobacteria~phage~RB32,Caudovirales,Myoviridae,Unassigned,59_10,Clustered,27,VC_59_10,27,0.2472,1.0,0.2472,2,2,2,1.0
3541,Enterobacteria~phage~RB49,Caudovirales,Myoviridae,Rb49virus,60_2,Clustered,4,VC_60_2,4,0.0476,0.9999869,0.0476,2,1,1,1.0
3542,Enterobacteria~phage~RB51,Caudovirales,Myoviridae,Unassigned,59_10,Clustered,27,VC_59_10,27,0.2472,1.0,0.2472,2,2,2,1.0
3543,Enterobacteria~phage~RB68,Caudovirales,Myoviridae,Unassigned,59_10,Clustered,27,VC_59_10,27,0.2472,1.0,0.2472,2,2,2,1.0
3544,Enterobacteria~phage~RB69,Caudovirales,Myoviridae,Rb69virus,59_0,Clustered,7,VC_59_0,7,0.0467,0.99999905,0.0467,2,2,2,1.0
3545,Enterobacteria~phage~ST104,Caudovirales,Podoviridae,Unassigned,228_0,Clustered,15,VC_228_0,15,0.483,1.0,0.483,2,2,2,0.8571
3546,Enterobacteria~phage~Sf101,Caudovirales,Podoviridae,Unassigned,228_0,Clustered,15,VC_228_0,15,0.483,1.0,0.483,2,2,2,0.8571
3547,Enterobacteria~phage~SfV,Caudovirales,Myoviridae,Unassigned,241_0,Clustered,6,VC_241_0,6,0.4835,1.0,0.4835,1,2,2,1.0
3548,Enterobacteria~phage~St-1,Unassigned,Microviridae,Alpha3microvirus,3585_0,Clustered,8,VC_3585_0,8,0.9635,0.99999117,0.9635,4,1,1,1.0
3549,Enterobacteria~phage~T3,Caudovirales,Podoviridae,Unassigned,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3550,Enterobacteria~phage~T4,Caudovirales,Myoviridae,T4virus,59_10,Clustered,27,VC_59_10,27,0.2472,1.0,0.2472,2,2,2,1.0
3551,Enterobacteria~phage~T7,Caudovirales,Podoviridae,T7virus,2169_0,Clustered,60,VC_2169_0,60,0.9416,1.0,0.9416,3,2,2,1.0
3552,Enterobacteria~phage~UAB_Phi20,Unassigned,Unassigned,Unassigned,228_0,Clustered,15,VC_228_0,15,0.483,1.0,0.483,2,2,2,0.8571
3553,Enterobacteria~phage~UAB_Phi78,Caudovirales,Podoviridae,Unassigned,97_0,Clustered,15,VC_97_0,15,0.9915,1.0,0.9915,2,2,2,1.0
3554,Enterobacteria~phage~VT2-Sakai,Caudovirales,Podoviridae,Nona33virus,109_1,Clustered,13,VC_109_1,13,0.551,1.0,0.551,4,1,1,0.8974
3555,Enterobacteria~phage~VT2phi_272,Caudovirales,Podoviridae,Unassigned,109_1,Clustered,13,VC_109_1,13,0.551,1.0,0.551,4,1,1,0.8974
3556,Enterobacteria~phage~WA13~sensu~lato,Unassigned,Microviridae,Unassigned,3585_0,Clustered,8,VC_3585_0,8,0.9635,0.99999117,0.9635,4,1,1,1.0
3557,Enterobacteria~phage~WPhi,Caudovirales,Myoviridae,P2virus,110_0,Clustered,29,VC_110_0,29,0.8118,1.0,0.8118,2,1,1,1.0
3558,Enterobacteria~phage~alpha3,Unassigned,Microviridae,Alpha3microvirus,3585_0,Clustered,8,VC_3585_0,8,0.9635,0.99999117,0.9635,4,1,1,1.0
3559,Enterobacteria~phage~epsilon15,Caudovirales,Podoviridae,Epsilon15virus,275_0,Clustered,5,VC_275_0,5,0.6225,0.99999993,0.6225,2,2,2,1.0
3560,Enterobacteria~phage~fd,Unassigned,Inoviridae,Inovirus,3590_0,Clustered,3,VC_3590_0,3,0.6844,0.9639009,0.6597,2,1,1,1.0
3561,Enterobacteria~phage~fiAA91-ss,Caudovirales,Myoviridae,Unassigned,110_0,Clustered,29,VC_110_0,29,0.8118,1.0,0.8118,2,1,1,1.0
3562,Enterobacteria~phage~mEp235,Caudovirales,Siphoviridae,Unassigned,227_0,Clustered,13,VC_227_0,13,0.3989,1.0,0.3989,3,1,1,1.0
3563,Enterobacteria~phage~mEpX1,Caudovirales,Siphoviridae,Hk97virus,227_0,Clustered,13,VC_227_0,13,0.3989,1.0,0.3989,3,1,1,1.0
3564,Enterobacteria~phage~mEpX2,Caudovirales,Siphoviridae,Hk97virus,227_0,Clustered,13,VC_227_0,13,0.3989,1.0,0.3989,3,1,1,1.0
3565,Enterobacteria~phage~phi92,Caudovirales,Myoviridae,Unassigned,68_0,Clustered,2,VC_68_0,2,0.1162,0.95523717,0.111,1,1,1,1.0
